Card Name,List Name,Labels,Card Description
"[DONE] Remove client-side Claude API key fallback","Phase 1","Done","Completed Feb 8 2026. @anthropic-ai/sdk removed from package.json. All testimony generation goes through /api/generate-testimony proxy. Only a test script (src/scripts/test-generation.cjs) still references SDK which is acceptable."
"[DONE] Fix ESLint to lint TypeScript files","Phase 1","Done","Completed Feb 8 2026. eslint.config.js targets *.{js,jsx,ts,tsx}. @typescript-eslint/parser and @typescript-eslint/eslint-plugin v8.54 installed."
"[DONE] Add Vite path alias (@)","Phase 1","Done","Completed Feb 8 2026. vite.config.js has resolve.alias @ pointing to src/. Matches tsconfig.json."
"[DONE] Restrict CORS on all API functions","Phase 1","Done","Completed Feb 8 2026. All 7 functions in functions/api/ restricted to https://lightning-dni.pages.dev. No wildcard * origins."
"[DONE] Add CI/CD pipeline (GitHub Actions)","Phase 1","Done","Completed Feb 8 2026. .github/workflows/ci.yml runs npm ci, build, type-check, test:run on push to main and PRs."
"[DONE] Clean up root directory","Phase 1","Done","Completed Feb 8 2026. Moved 32 HTML mockups to docs/mockups/, moved logos to public/, deleted empty files. Root now has 19 organized items."
"[DONE] Consolidate duplicate toast files","Phase 1","Done","Completed Feb 8 2026. Deleted toast.ts (was a re-export shim). Single toast.tsx (225 lines) with showSuccess, showError, showLoading, etc."
"[DONE] Server-side rate limiting (generate-testimony, stripe)","Phase 1","Done","Completed Feb 8 2026. _rateLimit.ts utility created. generate-testimony.ts (10/min), stripe-checkout.ts (5/min), stripe-portal.ts (10/min) all protected."
"[DONE] Decompose App.tsx (Phase 3 refactoring)","Phase 1","Done","Completed Feb 8 2026. App.tsx reduced from 1978 to 112 lines. Extracted AppContext (892 lines), SettingsMenu (312 lines), AppLayout (228 lines)."
"[DONE] Enable RLS on all Supabase tables","Phase 1","Done","Completed Feb 9 2026. All 46 tables have RLS enabled. Permissive policies first, then tightened table by table. Helper functions: get_user_id(), is_group_member(), is_server_member(), etc."
"[DONE] Clerk-Supabase JWT integration","Phase 1","Done","Completed Feb 9 2026. Native Clerk-Supabase Third-Party Auth integration. supabase.ts updated with accessToken callback. RLS policies use auth.jwt()->>'sub' for Clerk user ID."
"[DONE] Extract hooks from god components","Phase 1","Done","Completed Feb 8 2026. useMessages (555 lines), useNewChat (91 lines), useGroupManagement, useGroupChat, useGroupMembers, useChannelMessages (666 lines), useServerState (522 lines) all extracted."
"[DONE] Church creation and join flow","Phase 1","Done","createChurch() and joinChurchByCode() both fully implemented in src/lib/database/churches.ts. Invite code validation, membership handling, and error handling all present."
"[DONE] Cross-church feed","Phase 1","Done","getFeedTestimonies() merges church testimonies + cross-church friend testimonies. Friends' testimonies visible if marked 'all_churches' or 'shareable' visibility."
"[DONE] Comment system on testimonies","Phase 1","Done","addTestimonyComment(), getTestimonyComments(), deleteTestimonyComment() all in testimonies.ts. testimony_comments table with user relations. Permissions checking included."
"[DONE] Share testimony URL","Phase 1","Done","TestimonyShareModal.tsx generates shareable URL. Copy link, copy text, social media share (Twitter, Facebook, WhatsApp) all implemented."
"[DONE] Friend system (send/accept/decline/unfriend)","Phase 1","Done","Complete in friends.ts. sendFriendRequest, acceptFriendRequest, declineFriendRequest, unfriend, checkFriendshipStatus, getMutualFriends all implemented. Bidirectional model."
"[DONE] 1-to-1 direct messaging","Phase 1","Done","MessagesTab.tsx + useMessages hook. getUserConversations(), sendMessage() in database. Real-time subscriptions via hooks. Blocking/privacy checks integrated."
"[DONE] Report button on content","Phase 1","Done","ReportContent.tsx component. reportUser, reportTestimony, reportMessage, reportGroup in reporting.ts. Admin functions: getAllReports, updateReportStatus, getReportCounts."
"[DONE] Block user functionality","Phase 1","Done","BlockedUsers.tsx component. blockUser, unblockUser, getBlockedUsers, isUserBlocked, isBlockedBy in blocking.ts. Two-way blocking fully implemented."
"[DONE] Onboarding flow (profile creation wizard)","Phase 1","Done","ProfileCreationWizard.tsx — multi-step form (display name, username, bio, location, avatar). Integrated with church join flow. profileCompleted flag tracked."
"[DONE] Legal pages (ToS, Privacy Policy, Help Center)","Phase 1","Done","TermsOfService.tsx, PrivacyPolicy.tsx, HelpCenter.tsx all exist. Accessible from settings. Includes delete account instructions (in Help FAQ), data rights."
"[DONE] Dark mode / night mode toggle","Phase 1","Done","nightMode state exists with 122 references across 10+ files. Toggle works. Uses inline conditional styling (not Tailwind dark: classes — see Phase 6 refactoring task)."
"[DONE] Toast notifications for errors","Phase 1","Done","toast.tsx (225 lines) using react-hot-toast. showSuccess, showError, showLoading, showInfo, showErrorWithRetry, withToast all exported."
"[DONE] Profanity / content filter","Phase 1","Done","contentFilter.ts — smart profanity filter designed for Christian app. Handles profanity, hate speech, harassment, spam. Christian-context-aware (won't flag 'hell' in scripture context)."
"[DONE] Testimony visibility settings","Phase 1","Done","Three levels: my_church, all_churches, shareable. canViewTestimony() in privacy.ts enforces visibility with same-church, friends, and followers logic."
"[DONE] Followers system","Phase 1","Done","followers.ts — followUser, unfollowUser, getFollowers, getFollowing, isFollowing, counts. Requires public profile visibility."
"[DONE] Skeleton loaders / loading states","Phase 1","Done","SkeletonLoader.tsx and SkeletonLoaders.tsx created. Added to ProfileTab, MessagesTab, ServersTab. localStorage caching for instant profile loads."
"[DONE] Confirmation dialogs","Phase 1","Done","ConfirmDialog.tsx exists for destructive actions."
"[DONE] Testimony pagination","Phase 1","Done","testimonies.ts uses .range(offset, offset+limit-1) for getPublicTestimonies, getDiscoverTestimonies, getChurchTestimonies, getFeedTestimonies."
"[DONE] Deploy to production (Cloudflare Pages)","Phase 1","Done","Live at https://lightning-dni.pages.dev. Migrated from Netlify Oct 2025. Unlimited bandwidth, automatic deploys on git push."
"Add rate limiting to send-email.ts and send-push.ts","Phase 1","To Do","_rateLimit.ts utility already exists. Just needs importing into send-email.ts (target: 30 req/min) and send-push.ts (target: 60 req/min). ~15 min task."
"Integrate client-side rate limiting in 7 remaining locations","Phase 1","To Do","rateLimiter.ts exists. Only integrated in TestimonyQuestionnaire. Still needed in: GroupsTab (group messages + create group), NearbyTab (friend requests), profile updates, image uploads, reactions, testimony likes. See docs/RATE_LIMITING_INTEGRATION.md."
"Build testimony directory / browsable UI","Phase 1","To Do","Database functions exist (getPublicTestimonies, getDiscoverTestimonies, getChurchTestimonies) but no dedicated browsable directory UI component. Need searchable, filterable testimony listing within each church."
"Implement testimony categories/tags system","Phase 1","To Do","UI shows testimony.category in NearbyTab but no backend for setting/filtering categories. Need: DB field for categories (healing, salvation, provision, relationships, deliverance, etc.), category picker in testimony creation, filter in directory."
"Implement 'This encouraged me' reaction on testimonies","Phase 1","To Do","Generic emoji reactions exist (24 faith emojis in reactionEmojis.ts) but no specific 'encouraged' counter. Consider adding a dedicated encouragement reaction with count display."
"Build shareable testimony cards for social media","Phase 1","To Do","TestimonyShareModal supports URL sharing but no styled card image generation. Need beautiful, branded cards optimized for Instagram/Twitter/Facebook sharing."
"Add role badges in chat (PASTOR, LEADER, ADMIN)","Phase 1","In Progress","Role system defined in permissions.ts with getRoleColor, getRoleLabel, getRoleIcon functions. Colors assigned (amber=pastor, blue=admin, green=moderator). Need to verify badges render in actual chat UI."
"Profile completion progress indicator (percentage-based)","Phase 1","To Do","Currently binary (profileCompleted boolean). Need step-by-step progress display: 'Complete your profile: 60%' with missing items listed."
"Add pagination to non-testimony queries","Phase 1","To Do","Testimony queries have offset/limit pagination. Other lists (friends, messages, conversations, groups, servers, members) fetch everything at once. Will break at scale."
"Implement full-text search with proper indexing","Phase 1","To Do","Current search is basic. Doesn't find 'faithful' when searching 'faith'. Need PostgreSQL full-text search (tsvector/tsquery) or trigram matching for fuzzy search."
"Break up AppContext into smaller focused contexts","Phase 1","To Do","AppContext.tsx is still a large monolithic context (892 lines). Should split into AuthContext, ChatContext, ProfileContext, UIContext, etc."
"Break down MessagesTab.tsx (1917 lines → target <400)","Phase 1","To Do","Hooks were extracted (useMessages, useNewChat) but JSX is still massive at 1917 lines. Need to extract ConversationList, MessageThread, MessageInput sub-components."
"Break down GroupsTab.tsx (2582 lines → target <400)","Phase 1","To Do","Hooks extracted but JSX still 2582 lines. Need to extract GroupMessageList, GroupSettings, GroupDiscovery sub-components."
"Reduce type safety debt (228 as any + 194 @ts-ignore)","Phase 1","To Do","Concentrated in database modules: servers.ts (71), referrals.ts (74), groups.ts (30), announcements.ts (16), testimonies.ts (21). Create Supabase update types and type adapter functions."
"Fix client-side routing (URLs don't change on navigation)","Phase 1","To Do","App uses tab-based navigation only. Browser URLs don't change. Refresh breaks state. Need React Router integration for deep linking while preserving mobile PWA tab pattern."
"Implement full-screen layout for chat","Phase 1","In Progress","ChannelChatPage.tsx exists (93 lines). FullScreenLayout component exists. Need to apply same pattern to: DMs, testimony creation flow, onboarding, media viewer."
"Merge Messages + Groups into unified Chat tab","Phase 1","To Do","Currently separate bottom nav tabs. Plan: 3 tabs (Profile | Chat | Connect) or (My Testimony | Discover | Community). Requires navigation redesign."
"Set up SonarCloud scanning","Phase 1","To Do","No SonarCloud configuration found in codebase. No sonar-project.properties or sonarcloud.yml. Need to set up SonarCloud project, add config, integrate with CI/CD."
"Fix SonarCloud issues (1288+ reported)","Phase 1","To Do","Cannot start until SonarCloud is set up. Priority: 12 critical/high first, then medium. Some fixes already done via SonarQube commits (modal accessibility, space bar fix, etc.)."
"Resolve remaining bugs from audit","Phase 1","To Do","Multiple bug reports in docs/. Some fixed (loading screen, server creation, channel navigation). Need comprehensive QA pass to identify what's still broken."
"Establish consistent data flow pattern","Phase 1","In Progress","Hooks extracted (useMessages, useGroupChat, etc.) following component→hook→database pattern. Not consistent everywhere yet. Some components still call database directly."
"Default server template with preset channels","Phase 1","In Progress","Server creation uses RPC create_server_with_defaults which creates default roles. Unclear if it creates default channels (general, prayer, announcements). Need to verify and add if missing."
"Church invite shareable links (not just codes)","Phase 1","To Do","joinChurchByCode() exists for invite codes. Need shareable URL links (lightning.app/join/CHURCH-CODE) that work without manually entering codes."
"Implement Clerk Organizations for church communities","Phase 1","To Do","Not implemented. Currently churches are managed purely in Supabase. Clerk Organizations would add proper org-level auth, roles, and membership management."
"Add anonymous testimony option","Phase 1","To Do","No anonymous testimony feature found. Need option for sensitive stories (addiction, abuse, etc.) where testimony is published without user name attached."
"Implement delete account functionality","Phase 1","To Do","Referenced in legal pages (HelpCenter FAQ, PrivacyPolicy) but NO actual implementation. Need: Settings → Delete Account → confirmation → Supabase data deletion → Clerk account deletion. REQUIRED for App Store / GDPR."
"Add character limits on all input fields","Phase 1","In Progress","Some inputs have character limits (bio: 500 chars visible in ProfileCreationWizard). Need audit of ALL input fields to ensure consistent max length enforcement."
"Accessibility audit (ARIA labels, keyboard navigation)","Phase 1","To Do","Some work done (modal keyboard accessibility fixed per SonarQube). Phase 6 of refactoring plan includes: aria-labels on icon-only buttons, replace div onClick with button, add nav elements, keyboard event handlers."
"Add empty states for all lists","Phase 1","In Progress","MessagesTab has empty state. Need empty states for: no friends, no groups, no testimonies, no search results. Each should have friendly icon, message, and call-to-action button."
"Fix testimony generator bugs","Phase 1","To Do","TestimonyQuestionnaire.tsx exists with multi-question flow using Claude API. Need QA to verify: saves to database correctly, hasTestimony flag updates, testimony appears on profile, other users can read it."
"Ensure profile picture upload works end-to-end","Phase 1","To Do","Cloudinary integration exists (cloudinary.ts). ImageUpload.tsx and ChangePictureModal.tsx exist. Need end-to-end QA: upload → storage → display everywhere (profile, messages, groups, settings)."
"Fix messaging 5-second delay and timestamps","Phase 1","To Do","Listed as known bug. Real-time subscriptions exist via useMessages hook. Need to test current latency and verify timestamps are correct."
"Add unread message count","Phase 1","To Do","Listed as needed feature. Messaging exists but unread count badge on tab/conversation list needs verification."
"Implement testimony auto-type detection","Phase 1","To Do","Three types planned: Daily Testimony, Revelation Testimony, Salvation Testimony. AI should detect from single prompt 'What did God do today?' Need to verify/implement in Claude API prompt."
"Add voice recording option for testimonies","Phase 1","To Do","No voice recording or microphone functionality found in codebase. Need: MediaRecorder API integration, audio-to-text transcription (or audio storage), microphone permission handling."
"Mobile responsive testing on real devices","Phase 1","Needs QA","App has responsive design. Needs actual testing on iPhone and Android devices to verify layout, touch interactions, PWA behavior."
"Simple personal invite links tied to church","Phase 1","To Do","generateInviteCode.ts exists. CustomInviteEditor.tsx exists (premium). Need free-tier personal invite links that attribute new signups to the inviter and their church."
"Acceptance checkbox on signup (legal)","Phase 1","To Do","Legal pages exist but no evidence of a ToS/Privacy acceptance checkbox during Clerk signup flow."
"Full app regression test after RLS","Phase 1","Needs QA","RLS enabled on all tables (Phase 5 done) but completion checklist has unchecked items: full regression test, no data leakage between users, users can access own data."
"Update outdated documentation","Phase 1","To Do","SECURITY.md says RLS NOT IMPLEMENTED (outdated — done Feb 9). RATE_LIMITING_INTEGRATION.md shows 8 items as needed (7 still are). Several docs reference Netlify (migrated to Cloudflare). 5+ Oct 2025 docs describe completed work."
"Set up analytics tracking (Mixpanel or Amplitude)","Phase 1","To Do","No analytics SDK found. Sentry exists for error tracking only. Need user behavior analytics: activation rate, DAU, retention, testimony creation rate."
"Budget monitoring — API costs","Phase 1","To Do","No cost monitoring or alerting set up. Need billing alerts on Anthropic API (testimony generation), Cloudinary (images), Supabase, Cloudflare."
"Centralize night-mode with Tailwind dark: classes","Phase 1","To Do","Currently 122 inline nightMode conditionals across components. Phase 6 plan: add darkMode:'class' to tailwind.config.js, toggle dark class on html, replace inline conditionals with dark: variants."
"Add component tests","Phase 1","To Do","Phase 6 plan: tests for SignInPage, SignUpPage, ProfileCreationWizard, ErrorBoundary. Mock Clerk auth, mock Supabase. Test: renders, validation, error states."
"Database query optimization (N+1 fixes)","Phase 1","To Do","Phase 6 plan: create Supabase views for conversation list, add pagination to discovery queries, optimize getUserConversations with proper JOINs."
"Server-side permission enforcement","Phase 1","To Do","Phase 6 plan: move role-based permission checks from client-side permissions.ts into Supabase RPC functions. Keep client checks for UX but add server enforcement."
"PWA offline support","Phase 1","To Do","Phase 6 plan: update public/sw.js to cache static assets, implement cache-first for static/network-first for API, add offline fallback page. Consider Workbox."
"[DONE] Church premium plan (size-based pricing)","Phase 2","Done","PricingTable.tsx with tier display. Stripe integration (checkout, portal, webhook). pricing_tiers table with min_members, max_members, monthly_price_cents, annual_price_cents. getPricingTiers() and getTierForMemberCount() in billing.ts. Monthly and annual billing. 30-day free trial with CC required."
"[DONE] Individual Lightning Pro ($4.99/mo)","Phase 2","Done","Full checkout flow in ProSettings.tsx. $4.99/month, $49.99/year (17% annual discount). individual_pro subscription type in Stripe. ProBadge, ProSettings, ProUpgradePrompt, DowngradeConfirmDialog all implemented."
"Custom server banner","Phase 2","In Progress","ServerBannerUpload.tsx and ServerBannerDisplay.tsx exist. Need to verify full upload → display → persistence flow works."
"Animated server icon","Phase 2","In Progress","AnimatedServerIcon.tsx exists. Need to verify it renders properly and is gated behind premium."
"Verified church badge","Phase 2","In Progress","VerifiedBadge.tsx and PremiumBadge.tsx exist. Need to verify display logic and premium gating."
"Custom accent colors for server","Phase 2","In Progress","AccentColorPicker.tsx and CosmeticsEditor.tsx exist. Need to verify colors actually apply throughout the server UI."
"Custom invite link (lightning.app/church-name)","Phase 2","In Progress","CustomInviteEditor.tsx exists. Need to verify custom slug generation, uniqueness validation, and actual URL routing."
"[DONE] Branded testimony cards (church logo, custom frame)","Phase 2","Done","BrandedTestimonyCard.tsx exists with 4 templates: default, classic, modern, minimal. Supports custom accent colors and church logo watermark (testimony_card_logo_url). Integrated in CosmeticsEditor.tsx."
"Shepherd Tools — AI Congregation Insights","Phase 2","To Do","Referenced in PricingTable.tsx descriptions and premium types but NO actual AI implementation. Need: testimony theme synthesis, sentiment analysis, pastoral care alerts, sermon suggestions."
"Shepherd Tools — Advanced Analytics (KPI dashboards)","Phase 2","To Do","No analytics dashboard implementation found beyond basic AdminDashboard.tsx. Need: testimony trend charts, active member graphs, engagement scores, exportable PDF reports."
"Communication Automation (workflow builder)","Phase 2","To Do","No automation system found. Need: welcome sequences, testimony follow-ups, inactive member check-ins, scheduled announcements, birthday messages."
"AI-powered small group matching","Phase 2","To Do","Not implemented. Need: analyze testimony themes + interests + demographics → suggest compatible small group pairings."
"Daily testimony prompts","Phase 2","To Do","No scheduled prompt system found. Need: periodic nudges like 'What has God done this month?' Push or in-app notification."
"Staff roles with scoped permissions","Phase 2","In Progress","RoleManager.tsx and permissions.ts exist with role system (pastor, admin, moderator, member, visitor). Need: scoped visibility (youth pastor sees only youth groups), granular permission matrix."
"Content moderation queue (approve/reject/review)","Phase 2","To Do","Report system exists (reporting.ts) but no moderation queue UI. Admin can view reports but no approve/reject workflow for flagged content."
"[DONE] Audit log","Phase 2","Done","AuditLog.tsx fully implemented with filtering and pagination. Tracks: member timeouts, ownership transfers, kicks, bans, role changes, channel/category CRUD, server updates. Shows actor info, target, details, timestamps. getAuditLog() with pagination and action type filtering."
"Data export (member data, testimonies)","Phase 2","To Do","No export functionality found. Need: CSV/JSON export of member list, testimony archive, engagement data."
"Multi-campus management","Phase 2","To Do","No multi-campus feature found. Need: umbrella organization spanning multiple campus locations under one church."
"API key management and integrations","Phase 2","To Do","No API key management found. Need: developer API keys, webhook configuration, rate limiting per key."
"Planning Center / Mailchimp / Zapier integration","Phase 2","To Do","No third-party integrations found. These are church management tool integrations."
"Enhanced church directory listing","Phase 2","To Do","churches.ts has church data but no public directory with banners, badges, stats, featured testimonies."
"Pin featured testimonies on church listing","Phase 2","To Do","No pinned/featured testimony system found."
"Branded public landing page (lightning.app/church-name)","Phase 2","To Do","No public church landing pages. Need: custom URL, church branding, public testimony feed, join button."
"[DONE] Event listings and RSVP functionality","Phase 2","Done","EventsView.tsx and events.ts fully implemented. CRUD, RSVP tracking with status, recurring events (weekly, biweekly, monthly), calendar view mode, event reminders (24h, 1h, custom), max capacity support, location field with URL."
"Visitor analytics (views, clicks, joins)","Phase 2","To Do","No visitor tracking found. Need: page view counts, click tracking, discovery-to-member conversion funnel."
"Profile glow/aura effects (Pro feature)","Phase 2","In Progress","DB field profile_glow exists in IndividualProCosmetics. Checkbox toggle in ProSettings.tsx. BUT actual CSS glow/aura effect on profile picture NOT implemented yet. Need visual effect rendering."
"Custom testimony card designs (Pro feature)","Phase 2","To Do","No custom card templates. Need: multiple design options for sharing testimony cards."
"Exclusive faith-themed emoji/reaction packs (Pro)","Phase 2","To Do","24 standard faith emojis exist in reactionEmojis.ts. Need: premium-exclusive emoji packs, seasonal/limited-edition reactions."
"Extended AI testimony generation (Pro feature)","Phase 2","To Do","Basic testimony generation exists. Need: premium users get more generations per month or enhanced AI prompts."
"Server boost system (like Discord Nitro)","Phase 2","To Do","Not implemented. Need: individual users can boost their church server to unlock additional cosmetic tiers."
"Discover Tab — global browsable experience","Phase 2","To Do","NearbyTab has some discovery features (trending testimony, feed). Need dedicated Discover tab with: categories, map view, trending, global search."
"Browse testimonies by category globally","Phase 2","To Do","Categories partially exist in UI but no global category browsing. Need: healing, addiction, loss, provision, relationships, salvation, etc. as browsable sections."
"Browse testimonies by location globally","Phase 2","To Do","No location-based global testimony browsing. Need: 'What is God doing in Lagos? In Seoul?' experience."
"Browse by AI-generated themes","Phase 2","To Do","No AI theme analysis of testimonies. Need: analyze testimony content to generate browsable themes like 'rock bottom moments' or 'unexpected breakthroughs'."
"Trending testimonies (global)","Phase 2","To Do","getTrendingTestimony() exists for church-level trending. Need: global trending across all churches based on engagement."
"Global testimony search","Phase 2","To Do","No cross-church global search. Need: search across all public testimonies from all churches."
"SEO-friendly public testimony pages","Phase 2","To Do","App is SPA (single page app). No server-side rendering for SEO. Need: meta tags, Open Graph, or SSR/SSG for public testimony URLs."
"World map view with testimony pins","Phase 2","To Do","No map implementation found. Need: interactive world map (Mapbox or Leaflet), testimonies pinned by location, tap to read."
"Church discovery directory with location search","Phase 2","To Do","churches.ts has data. Need: location-based church search, denomination filter, church profile cards, public landing pages."
"Visibility nudge system (share wider)","Phase 2","To Do","No nudge system found. Need: 'Your testimony encouraged 12 people. Share it with believers worldwide?' gradual expansion prompts."
"Story circles / testimony highlights","Phase 2","To Do","Not implemented. Story circles around profile pictures showing recent testimony activity."
"Trending hashtags (#GodIsHealer)","Phase 2","To Do","No hashtag system. Need: auto-generated or user-added hashtags on testimonies with trending display."
"People to Follow suggestions","Phase 2","To Do","No suggestion algorithm. Need: recommend users based on church, mutual friends, testimony themes."
"Push notifications (OneSignal or FCM)","Phase 2","In Progress","Foundation exists: webPush.ts (Web Push API client with subscription/registration/permissions), send-push.ts (Cloudflare function), push_subscriptions table, service worker registration, VAPID key setup. BUT: push encryption is TODO (noted in send-push.ts), no OneSignal/FCM, delivery not verified end-to-end."
"Email notifications (optional)","Phase 2","To Do","send-email.ts exists as API function. No email notification system for: daily digest, missed messages, friend request alerts."
"Notification preferences in settings","Phase 2","In Progress","NotificationSettings.tsx and NotificationsPanel.tsx exist. DB columns: notify_messages, notify_friend_requests, notify_nearby. Settings toggles work. BUT no actual notifications sent regardless of settings."
"Testimony prompts/reminders","Phase 2","To Do","No reminder system. Need: 'It''s been 3 months since your last testimony' periodic nudge."
"Prayer requests feature","Phase 2","To Do","No prayer request system found. Need: post prayer request, others tap 'praying for you', #1 engagement feature in Christian apps."
"Improved messaging: reactions, reply threads","Phase 2","In Progress","Basic messaging works. Emoji reactions exist in reactionEmojis.ts. Reply/delete partially implemented in hooks. Need: full reaction UI, threaded replies, message editing."
"Message reactions (fire 12, lightning 8)","Phase 2","In Progress","Reaction emoji list exists. Need to verify reaction counts display on messages in DM and group chat."
"Testimony embeds in chat","Phase 2","To Do","No testimony embed cards in chat. Need: when sharing a testimony in chat, show accent-bordered preview card instead of plain URL."
"[DONE] Events/calendar system","Phase 2","Done","EventsView.tsx and events.ts fully implemented. Event CRUD, RSVP statuses, recurring events (weekly/biweekly/monthly), calendar view, reminders (24h/1h/custom), max capacity, location with URL."
"Discord-style server layout (3-column)","Phase 2","To Do","Current layout is mobile-first with bottom tabs. No 3-column desktop layout (server rail + channel sidebar + chat area). Major UI restructure."
"Server rail with multiple communities","Phase 2","To Do","No server rail showing all joined communities at once. Need: vertical icon strip like Discord showing all servers."
"Voice channels (Prayer Room, Worship Session)","Phase 2","To Do","No voice/audio channel implementation. Requires WebRTC. High complexity and cost."
"Video testimonies with hosting/streaming","Phase 2","To Do","No video upload or streaming. Would need video hosting service (Mux, Cloudflare Stream)."
"Voice/video calls","Phase 2","To Do","No calling functionality. Requires WebRTC infrastructure."
"AI-powered content moderation","Phase 2","To Do","Manual profanity filter exists (contentFilter.ts). No AI-based content moderation. Need: Claude/GPT review of flagged content, auto-detection of harmful content."
"Multi-language translation","Phase 2","To Do","App is English-only. No i18n framework, no translation files."
"Encrypted messaging (Signal Protocol)","Phase 2","To Do","Messages stored in plain text in Supabase. No end-to-end encryption."
"Mobile app via Capacitor","Phase 2","To Do","Capacitor planned per tech stack but not implemented. Need: native iOS/Android wrapper, push notification integration, app store submission."
"Desktop app (Electron)","Phase 2","To Do","Not implemented. Lower priority than mobile."
"Advanced group features (polls, file sharing)","Phase 2","To Do","Groups have messaging and member management. No polls, file sharing, or events within groups."
"GIF support and voice messages in chat","Phase 2","To Do","No GIF picker or voice message recording in chat."
"QR code sharing","Phase 2","To Do","No QR code generation for profiles, churches, or invite links."
"Enterprise pricing for denominations/networks","Phase 2","To Do","No enterprise tier. Future: custom pricing for multi-campus churches and denominational networks."
"Change ALL passwords (use password manager)","Personal","To Do","Security audit task. Use 1Password or Bitwarden. Unique password per service: GitHub, Clerk, Supabase, Vercel, email, Apple ID."
"Enable 2FA on ALL services","Personal","To Do","GitHub, Clerk, Supabase, Vercel, email, Apple ID — all need two-factor authentication enabled."
"Rotate ALL API keys","Personal","To Do","Clerk keys, Supabase anon key + service role key + DB password, Anthropic API key, Cloudinary keys, Cloudflare env vars — all need rotation."
"Revoke old developer access everywhere","Personal","To Do","Check and remove: GitHub collaborators, Clerk admin accounts, Supabase project access. Only give collaborator/developer-level access to future devs."
"Check GitHub commit history for exposed keys","Personal","To Do","Search git history for accidentally committed API keys, passwords, or secrets. Use tools like git-secrets or trufflehog."
"Check Clerk user list for unauthorized accounts","Personal","To Do","Log into Clerk Dashboard. Look for unrecognized admin or test accounts. Remove any suspicious entries."
"Review package.json for unfamiliar dependencies","Personal","To Do","Audit all npm packages for: unexpected additions, known vulnerable versions, typosquatting packages."
"Scan devices for malware","Personal","To Do","Run Malwarebytes on Mac/Windows. Check browser extensions for suspicious ones. Remove anything unrecognized."
"Check for unauthorized remote access software","Personal","To Do","Look for TeamViewer, AnyDesk, Chrome Remote Desktop, or other remote access tools that shouldn't be installed."
"Set billing alerts on all paid services","Personal","To Do","Set up spending alerts on: Anthropic API, Cloudinary, Supabase, Cloudflare. Prevent surprise charges."
"Separate personal accounts from Lightning","Personal","To Do","Use a dedicated email for all Lightning services. Don't mix personal and business accounts."
"Never give admin access to future devs","Personal","To Do","Policy: only collaborator/developer-level access. Admin access stays with you only."
"Delaware C-Corp maintenance","Personal","To Do","Registered agent ~$100-200/yr. Franchise tax $400/yr minimum. Keep in good standing."
"Apple Developer Program ($99/yr)","Personal","To Do","Required for iOS App Store submission. Enroll at developer.apple.com."
"Google Play Developer ($25 one-time)","Personal","To Do","Required for Android app on Play Store. One-time fee at play.google.com/console."
"Business bank account","Personal","To Do","Open dedicated business checking account for Lightning LLC/C-Corp. Keep business and personal finances separate."
"Domain resolution (lightningsocial.io)","Personal","To Do","Domain suspension issues noted. Resolve or migrate to a new domain. Consider: lightning.app, lightningtestimony.com, etc."
"Cybersecurity advisor relationship","Personal","To Do","Jonathan Doanne, Security Researcher at AWS. Establish advisory relationship for security reviews and incident response."
